CA High School,Calculation1,City,County,Measure Names,Measure Values
ANALY HIGH SCHOOL,ANALY HIGH SCHOOL053345,Sebastopol,Sonoma,Enrl GPA,4.022903226
ANALY HIGH SCHOOL,ANALY HIGH SCHOOL053345,Sebastopol,Sonoma,Adm GPA,4.008979592
ANALY HIGH SCHOOL,ANALY HIGH SCHOOL053345,Sebastopol,Sonoma,App GPA,3.90046875
ANDERSON NEW TECHNOLOGY HS,ANDERSON NEW TECHNOLOGY HS050151,Anderson,Shasta,Enrl GPA,
ANDERSON NEW TECHNOLOGY HS,ANDERSON NEW TECHNOLOGY HS050151,Anderson,Shasta,Adm GPA,
ANDERSON NEW TECHNOLOGY HS,ANDERSON NEW TECHNOLOGY HS050151,Anderson,Shasta,App GPA,3.664
ANDERSON UNION HIGH SCHOOL,ANDERSON UNION HIGH SCHOOL050095,Anderson,Shasta,Enrl GPA,3.772
ANDERSON UNION HIGH SCHOOL,ANDERSON UNION HIGH SCHOOL050095,Anderson,Shasta,Adm GPA,3.941428571
ANDERSON UNION HIGH SCHOOL,ANDERSON UNION HIGH SCHOOL050095,Anderson,Shasta,App GPA,3.851111111
ANDREW P HILL HIGH SCHOOL,ANDREW P HILL HIGH SCHOOL053077,San Jose,Santa Clara,Enrl GPA,3.881
ANDREW P HILL HIGH SCHOOL,ANDREW P HILL HIGH SCHOOL053077,San Jose,Santa Clara,Adm GPA,3.807619048
ANDREW P HILL HIGH SCHOOL,ANDREW P HILL HIGH SCHOOL053077,San Jose,Santa Clara,App GPA,3.59
ANGELO RODRIGUEZ HIGH SCHOOL,ANGELO RODRIGUEZ HIGH SCHOOL050919,Fairfield,Solano,Enrl GPA,3.9359375
ANGELO RODRIGUEZ HIGH SCHOOL,ANGELO RODRIGUEZ HIGH SCHOOL050919,Fairfield,Solano,Adm GPA,3.945
ANGELO RODRIGUEZ HIGH SCHOOL,ANGELO RODRIGUEZ HIGH SCHOOL050919,Fairfield,Solano,App GPA,3.750379747
ANIMO COLLEGE PREP ACADEMY,ANIMO COLLEGE PREP ACADEMY054569,Los Angeles,Los Angeles,Enrl GPA,
